Nº da Medida,Ementa,Situação
"82, de 07.12.2002
Publicada no DOU de 13.12.2002
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre a transferência da União para os Estados e o Distrito Federal de parte da malha rodoviária sob jurisdição federal, nos casos que especifica, e dá outras providências.","Vetada
Mensagem de Veto"
"81, de 29.11.2002
Publicada no DOU de 2.12.2002
Exposição de Motivos","Abre crédito extraordinário, em favor de Encargos Financeiros da União e Refinanciamento da Dívida Pública Mobiliária Federal, no valor global de R$ 17.084.740.385,00, para os fins que especifica.","Convertida
Lei nº 10.644, de 2003"
"80, de 29.11.2002
Publicada no DOU de 2.12.2002
Exposição de Motivos
Prorrogação de prazo","Altera o art. 5o da Lei no 8.427, de 27 de maio de 1992, que dispõe sobre a concessão de subvenção econômica nas operações de crédito rural.","Convertida
Lei nº 10.648, de 2003"
"79, de 27.11.2002
Publicada no DOU de 28.11.2002
Exposição de Motivos
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre o direito ao ressarcimento dos custos de formação de atleta não profissional e a exploração comercial da imagem do atleta profissional, impõe vedações ao exercício de cargo ou função executiva em entidade de administração de desporto profissional, fixa normas de segurança nos estádios, adapta o tratamento diferenciado do desporto profissional à Lei nº 10.406, de 10 de janeiro de 2002 - Código Civil, estabelece diretrizes para o cumprimento da obrigação constante do art. 46-A da Lei nº 9.615, de 24 de março de 1998, altera o art. 8o da Lei no 10.359, de 27 de dezembro de 2001, e dá outras providências.","Convertida
Lei nº 10.672, de 2003"
"78, de 8.11.2002
Publicada no DOU de 11.11.2002
Exposição de Motivos",Autoriza o Poder Executivo a doar à República do Paraguai vacinas e equipamentos indispensáveis ao combate à febre aftosa.,"Convertida
Lei nº 10.643, de2003"
"77, de 25.10.2002
Publicada no DOU de 28.10.2002
Exposição de Motivos
Prorrogação de prazo","Altera as Leis nos 10.464, de 24 de maio de 2002, 10.177, de 12 de janeiro de 2001, e 10.437, de 25 de abril de 2002; autoriza a concessão de crédito, com recursos dos Fundos Constitucionais de Financiamento do Norte, Nordeste e Centro-Oeste, para aquisição dos títulos do Tesouro Nacional necessários à contratação de operação na forma da Resolução no 2.471, de 26 de fevereiro de 1998, do Conselho Monetário Nacional, relacionada com dívidas contraídas com recursos de outras fontes; dispõe sobre reconversão de atividades de mutuários com dívidas junto a bancos oficiais federais; e dá outras providências.","Convertida
Lei nº 10.646, de 2003"
"76, de 25.10.2002
Publicada no DOU de 28.10.2002
Exposição de Motivos","Dispõe sobre a instituição de equipe de transição pelo candidato eleito para o cargo de Presidente da República, cria cargos em comissão, e dá outras providências.","Convertida
Lei nº 10.609, de 2002"
"75, de 24.10.2002
Publicada no DOU de 25.10.2002
Exposição de Motivos","Altera a Legislação Tributária Federal, e dá outras providências.","Rejeitada
Ato do Presidente da Câmara dos Deputados"
"74, de 23.10.2002
Publicada no DOU de 24.10.2002
Exposição de Motivos","Altera a Lei no 7.998, de 11 de janeiro de 1990, para assegurar o pagamento de seguro-desemprego ao trabalhador resgatado da condição análoga à de escravo.","Convertida
Lei nº 10.608, de 2002"
"73, de 14.10.2002
Publicada no DOU de 15.10.2002
Exposição de Motivos","Revoga o art. 12 da Medida Provisória no 66, de 29 de agosto de 2002.","Rejeitada pelo
Ato do Presidente da Câmara dos Deputados"
"72, de 8.10.2002
Publicada no DOU de 9.10.2002
Exposição de Motivos","Abre crédito extraordinário, no valor de R$ 208.000.000,00, em favor dos Ministérios da Integração Nacional e de Minas e Energia, para os fins que especifica.","Convertida
Lei nº 10.580, de 2002"
"71, de 3.10.2002
Publicada no DOU de 4.10.2002
Exposição de Motivos","Altera disposições das Leis nos 9.028, de 12 de abril de 1995, e 10.480, de 2 de julho de 2002, da Medida Provisória n° 2.229-43, de 6 de setembro de 2001, dispõe sobre a Secretaria da Receita Federal, e dá outras providências.","Rejeitada
Ato do Presidente da Câmara dos Deputados"
"70, de 1º.10.2002
Publicada no DOU de 2.10.2002
Exposição de Motivos","Dispõe sobre a participação de capital estrangeiro nas empresas jornalísticas e de radiodifusão sonora e de sons e imagens, conforme o § 4o do art. 222 da Constituição, altera os arts. 38 e 64 da Lei no 4.117, de 27 de agosto de 1962, o § 3o do art. 12 do Decreto-Lei no 236, de 28 de fevereiro de 1967, e dá outras providências.","Convertida
Lei nº 10.610, de 2002"
"69, de 26.9.2002
Publicada no DOU de 27.9.2002
Exposição de Motivos",Dispõe sobre a proteção de informação não divulgada submetida para aprovação da comercialização de produtos e dá outras providências.,"Convertida
Lei nº 10.603, de 2002"
"68, de 4.9.2002
Publicada no DOU de 5.9.2002
Exposição de Motivos","Altera as Leis nos 10.209, de 23 de março de 2001, e 10.233, de 5 de junho de 2001, e dá outras providências.","Convertida
Lei nº 10.561, de 2002"
"67, de 4.9.2002
Publicada no DOU de 5.9.2002
Exposição de Motivos","Dispõe sobre o tratamento tributário dispensado às empresas de transporte aéreo, e dá outras providências.","Convertida
Lei nº 10.560, de 2002"
"66, de 29.8.2002
Publicada no DOU de 30.8.2002
Exposição de Motivos","Dispõe sobre a não cumulatividade na cobrança da contribuição para os Programas de Integração Social (PIS) e de Formação do Patrimônio do Servidor Público (Pasep), nos casos que especifica; sobre os procedimentos para desconsideração de atos ou negócios jurídicos, para fins tributários; sobre o pagamento e o parcelamento de débitos tributários federais, a compensação de créditos fiscais, a declaração de inaptidão de inscrição de pessoas jurídicas, a legislação aduaneira, e dá outras providências.","Convertida
Lei nº 10.637, de 2002"
"65, de 28.8.2002
Publicada no DOU de 29.8.2002
Exposição de Motivos",Regulamenta o art. 8o do Ato das Disposições Constitucionais Transitórias e dá outras providências.,"Convertida
Lei nº 10.559, de 2002"
"64, de 26.8.2002
Publicada no DOU de 27.8.2002
Exposição de Motivos","Estabelece exceção ao alcance do art. 2o da Lei no 10.192, de 14 de fevereiro de 2001, que dispõe sobre medidas complementares ao Plano Real, e dá outras providências.","Convertida
Lei nº 10.604, de 2002"
"63, de 26.8.2002
Publicada no DOU de 27.8.2002
Exposição de Motivos","Cria o Programa Diversidade na Universidade, e dá outras providências.","Convertida
Lei nº 10.558, de 2002"
"62, de 22.8.2002
Publicada no DOU de 23.8.2002
Exposição de Motivos","Altera o art. 25 da Lei no 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente.","Prejudicada
Ato Declaratório do
Senado Federal"
"61, de 16.8.2002
Publicada no DOU de 19.8.2002
Exposição de Motivos","Dispõe sobre a assunção, pela União, de responsabilidades civis perante terceiros no caso de atentados terroristas ou atos de guerra contra aeronaves de empresas aéreas brasileiras.","Convertida
Lei nº 10.605, de 2002"
"60, de 15.8.2002
Publicada no DOU de 16.8.2002 -Ed. extra
Exposição de Motivos","Abre, em favor de Encargos Financeiros da União, crédito extraordinário no valor de R$ 7.000.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.557, de 2002"
"59, de 15.8.2002
Publicada no DOU de 16.8.2002
Exposição de Motivos","Dispõe sobre a utilização das fontes de recursos existentes no Tesouro Nacional no encerramento do exercício financeiro de 2001, e dá outras providências.","Convertida
Lei nº 10.595, de 2002"
"58, de 13.8.2002
Publicada no DOU de 14.8.2002
Exposição de Motivos","Exclui da vedação prevista no art. 3o da Lei no 9.491, de 9 de setembro de 1997, as ações detidas pela União no capital do Banco do Brasil S.A., e dá outras providências.","Convertida
Lei nº 10.568, de 2002"
"57, de 7.8.2002
Publicada no DOU de 8.8.2002
Exposição de Motivos","Autoriza a Centrais Elétricas Brasileiras S.A. - ELETROBRÁS e a União a adquirirem ações da Companhia Energética de Goiás - CELG para efeito de inclusão no Programa Nacional de Desestatização - PND, e dá outras providências.","Rejeitada
Ato do Presidente da Câmara dos Deputados"
"56, de 18.7.2002
Publicada no DOU de 19.7.2002
Exposição de Motivos","Dispõe sobre a inclusão dos cargos que especifica no Plano de Classificação de Cargos, instituído pela Lei no 5.645, de 10 de dezembro de 1970, altera as Leis no 10.486, de 4 de julho de 2002, e 5.662, de 21 de junho de 1971, e dá outras providências.","Convertida
Lei nº 10.556, de 2002"
"55, de 12.7.2002
Publicada no DOU de 15.7.2002
Exposição de Motivos","Autoriza condições especiais para o crédito de valores iguais ou inferiores a R$ 100,00, de que trata a Lei Complementar nº 110, de 29 de junho de 2001, e dá outras providências.","Convertida
Lei nº 10.555, de 2002"
"54, de 11.7.2002
Publicada no DOU de 12.7.2002
Exposição de Motivos","Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 36.365.000,00, para os fins que especifica.","Convertida
Lei nº 10.554, de 2002"
"53, de 11.7.2002
Publicada no DOU de 12.7.2002
Exposição de Motivos","Revoga os arts. 27, 28 e 29 da Medida Provisória nº 51, de 4 de julho de 2002, que dispõe sobre a criação de cargos de Guarda de Polícia Federal e de Analista de Informações Policiais no Quadro de Pessoal do Departamento de Polícia Federal, e de Direção e Assessoramento Superiores no âmbito da Administração Pública Federal.","Prejudicada
Ato do Presidente da Câmara dos Deputados"
"52, de 4.7.2002
Publicada no DOU de 4.7.2002 (Ed. extra)
Exposição de Motivos",Dispõe sobre a criação da Carreira de Supervisão do Sistema de Saúde e dá outras providências.,"Rejeitada
Ato do Presidente da Câmara dos Deputados"
"51, de 4.7.2002
Publicada no DOU de 4.7.2002 (Ed. extra)
Exposição de Motivos","Dispõe sobre a criação de cargos de Guarda de Polícia Federal e de Analista de Informações Policiais no Quadro de Pessoal do Departamento de Polícia Federal, e de Direção e Assessoramento Superiores no âmbito da Administração Pública Federal, e dá outras providências.","Rejeitada
Ato do Presidente da Câmara dos Deputados"
"50, de 28.6.2002
Publicada no DOU de 1º.7.2002
Exposição de Motivos","Abre, em favor de Operações Oficiais de Crédito, crédito extraordinário no valor de R$ 380.905.883,00, para os fins que especifica.","Convertida
Lei nº 10.553, de 2002"
"49, de 28.6.2002
Publicada no DOU de 1º.7.2002
Exposição de Motivos","Autoriza o Poder Executivo a contratar em nome da União operação de crédito interno e a conceder garantia da União a entidades da administração federal indireta, bem como a Estados, ao Distrito Federal, aos Municípios e às suas entidades da administração indireta, em operação de crédito interno, e dá outras providências.","Convertida
Lei nº 10.552, de 2002"
"48, de 26.6.2002
Publicada no DOU de 27.6.2002
Exposição de Motivos","Dispõe sobre a criação da Gratificação de Desempenho de Atividade de Controle e Segurança de Tráfego Aéreo - GDASA e da Gratificação Especial de Controle do Tráfego Aéreo - GECTA, e dá outras providências.","Convertida
Lei nº 10.551, de 2002"
"47, de 26.6.2002
Publicada no DOU de 27.6.2002
Exposição de Motivos","Dispõe sobre a estruturação da Carreira de Perito Federal Agrário, a criação da Gratificação de Desempenho de Atividade de Perito Federal Agrário - GDAPA e da Gratificação Especial de Perito Federal Agrário - GEPRA, e dá outras providências.","Convertida
Lei nº 10.550, de 2002"
"46, de 25.6.2002
Publicada no DOU de 26.6.2002
Exposição de Motivos","Dispõe sobre a reestruturação da Carreira Auditoria do Tesouro Nacional, que passa a denominar-se Carreira Auditoria da Receita Federal - ARF, e sobre a organização da Carreira Auditoria-Fiscal da Previdência Social e da Carreira Auditoria-Fiscal do Trabalho, e dá outras providências.","Convertida
Lei nº 10.593, de 2002"
"45, de 25.6.2002
Publicada no DOU de 26.6.2002
Exposição de Motivos","Altera a Lei nº 9.650, de 27 de maio de 1998, que dispõe sobre o Plano de Carreira dos servidores do Banco Central do Brasil, e dá outras providências.","Rejeitada
Ato do Presidente da Câmara dos Deputados"
"44, de 25.6.2002
Publicada no DOU de 26.6.2002
Exposição de Motivos","Dispõe sobre a inclusão dos cargos da Comissão Executiva do Plano da Lavoura Cacaueira - CEPLAC no Plano de Classificação de Cargos, instituído pela Lei no 5.645, de 10 de dezembro de 1970.","Rejeitada
Ato do Presidente do Senado Federal"
"43, de 25.6.2002
Publicada no DOU de 26.6.2002
Exposição de Motivos","Dispõe sobre a remuneração dos cargos da Carreira de Procurador da Fazenda Nacional, e dá outras providências.","Convertida
Lei nº 10.549, de 2002"
"42, de 25.6.2002
Publicada no DOU de 26.6.2002
Exposição de Motivos","Dispõe sobre a estruturação da Carreira de Inteligência, a remuneração dos integrantes do Quadro de Pessoal da Agência Brasileira de Inteligência - ABIN, e dá outras providências.","Rejeitada
Ato do Presidente do Senado Federal"
"41, de 20.6.2002
Publicada no DOU de 21.6.2002
Exposição de Motivos","Altera a Lei nº 10.147, de 21 de dezembro de 2000, que dispõe sobre a incidência da contribuição para os Programas de Integração Social e de Formação do Patrimônio - PIS-Pasep e da Contribuição para o Financiamento da Seguridade Social - Cofins, nas operações de venda dos produtos que especifica, e dá outras providências","Convertida
Lei nº 10.548, de 2002"
"40, de 14.6.2002
Publicada no DOU de 13.11.2002
Exposição de Motivos","Abre crédito extraordinário, no valor de R$ 326.075.000,00, em favor do Ministério de Minas e Energia, para os fins que especifica.","Convertida
Lei nº 10.542, de 2002"
"39, de 14.6.2002
Publicada no DOU de 17.6.2002
Exposição de Motivos","Altera a Lei no 9.615, de 24 de março de 1998, que institui normas gerais sobre desporto e dá outras providências.","Rejeitada
Despacho do Presidente da
Câmara dos Deputados"
"38, de 14.5.2002
Publicada no DOU de 15.5.2002
Exposição de Motivos","Dispõe sobre o parcelamento de débitos tributários de Estados, do Distrito Federal, de Municípios e de empresas públicas e privadas em processo de falência ou de liquidação, institui regime especial de parcelamento da contribuição para o Programa de Formação do Patrimônio do Servidor Público - PASEP, restabelece prazos para pagamento de débitos tributários, inclusive do imposto de renda incidente sobre lucro inflacionário, concede benefícios fiscais à instalação, ampliação ou modernização de unidades industriais e tratamento tributário isonômico entre produção nacional e a importação de papel-jornal, altera a legislação aduaneira e a relativa à cobrança de direitos antidumping e compensatórios, e dá outras providências.","Sem Eficácia
Ato do Presidente do Congresso Nacional"
"37, de 8.5.2002
Publicada no DOU de 9.5.2002
Exposição de Motivos","Dispõe sobre a estruturação de órgãos, cria cargos em comissão no âmbito do Poder Executivo Federal, e dá outras providências.","Convertida
Lei nº 10.539, de 2002"
"36, de 8.5.2002
Publicada no DOU de 9.5.2002
Exposição de Motivos","Abre crédito extraordinário, em favor da Justiça do Trabalho e do Ministério da Integração Nacional, no valor global de R$ 124.210.542,00, para os fins que especifica.","Convertida
Lei nº 10.526, de 2002"
"35, de 27.3.2002
Publicada no DOU de 28.3.2002
Exposição de Motivos","Dispõe sobre o salário mínimo a partir de 1o de abril de 2002, e dá outras providências.","Convertida
Lei nº 10.525, de 2002"
"34, de 6.3.2002
Publicada no DOU de 7.3.2002
Exposição de Motivos","Abre crédito extraordinário, em favor dos Ministérios de Minas e Energia e da Integração Nacional, no valor global de R$ 805.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.460, de .2002"
"33, de 19.2.2002
Publicada no DOU de 20.2.2002
Exposição de Motivos","Dispõe sobre os Sistemas Nacionais de Epidemiologia, de Saúde Ambiental e de Saúde Indígena, cria a Agência Federal de Prevenção e Controle de Doenças - APEC, e dá outras providências.","Rejeitada
Ato do Presidente da Câmara dos Deputados"
"32, de 18.2.2002
Publicada no DOU de 19.2.2002
Exposição de Motivos","Prorroga a autorização de que trata a Lei no 10.309, de 22 de novembro de 2001, que dispõe sobre a assunção pela União de responsabilidades civis perante terceiros no caso de atentados terroristas ou atos de guerra contra aeronaves de empresas aéreas brasileiras.","Convertida
Lei nº 10.459, de 2002"
"31, de 15.2.2002
Publicada no DOU de 18.2.2002
Exposição de Motivos","Abre crédito extraordinário, no valor global de R$ 209.600.000,00, em favor da Presidência da República e dos Ministérios de Minas e Energia, do Esporte e Turismo e da Integração Nacional, para os fins que especifica.","Convertida
Lei nº 10.462, de2002"
"30, de 13.2.2002
Publicada no DOU de 14.2.2002
Exposição de Motivos","Institui o Programa Bolsa-Renda para atendimento a agricultores familiares atingidos pelos efeitos da estiagem nos Municípios em estado de calamidade pública ou situação de emergência, e dá outras providências.","Convertida
Lei nº 10.458, de 2002"
"29, de 7.2.2002
Publicada no DOU de 8.2.2002
Exposição de Motivos","Dispõe sobre a autorização para a criação do Mercado Atacadista de Energia Elétrica - MAE, pessoa jurídica de direito privado, e dá outras providências.","Convertida
Lei nº 10.433, de 2002"
"28, de 4.2.2002
Publicada no DOU de 5.2.2002
Exposição de Motivos
Exposição de Motivos",Dispõe sobre normas gerais de direito penitenciário e dá outras providências.,"Rejeitada
Ato do Presidente da Câmara dos Deputados"
"27, de 24.1.2002
Publicada no DOU de 25.1.2002
Exposição de Motivos","Dispõe sobre infrações penais de repercussão interestadual ou internacional que exigem repressão uniforme, para os fins do disposto no inciso I do § 1o do art. 144 da Constituição.","Convertida
Lei nº 10.446, de 2002"
"26, de 24.1.2002
Publicada no DOU de 25.1.2002
Exposição de Motivos","Dispõe sobre a extinção da gratificação de produção suplementar devida aos servidores da Imprensa Nacional, e dá outras providências.","Convertida
Lei nº 10.432, de 2002"
"25, de 23.1.2002
Publicada no DOU de 24.1.2002(Ed. extra)
Exposição de Motivos",Dispõe sobre a tributação dos planos de benefícios de caráter previdenciário.,"Convertida
Lei nº 10.431, de 2002"
"24, de 23.1.2002
Publicada no DOU de 24.1.2002
Exposição de Motivos","Dispõe sobre a repactuação e o alongamento de dívidas oriundas de operações de crédito rural contratadas sob a égide do Programa Especial de Crédito para a Reforma Agrária - PROCERA e do Programa Nacional de Fortalecimento da Agricultura Familiar - PRONAF, e dá outras providências.","Convertida
Lei nº 10.464, de 2002"
"23, de 18.1.2002
Publicada no DOU de 21.1.2002
Exposição de Motivos","Abre crédito extraordinário, em favor dos Ministérios dos Transportes e da Integração Nacional, no valor global de R$ 115.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.430, de 2002"
"22, de 8.1.2002
Publicada no DOU de 9.1.2002
Exposição de Motivos",Altera a legislação tributária federal e dá outras providências.,"Convertida
Lei nº 10.451, de 2002"
"21, de 8.1.2002
Publicada no DOU de 9.1.2002
Exposição de Motivos",Institui o Auxílio-Aluno no âmbito do Projeto de Profissionalização dos Trabalhadores de Enfermagem - PROFAE.,"Convertida
Lei nº 10.429, de 2002"
"20, de 28.12.2001
Publicada no DOU de 31.12.2001
Exposição de Motivos","Abre crédito extraordinário ao Orçamento de Investimento para 2001, em favor de diversas empresas estatais, no valor total de R$ 2.816.630.828,00, e reduz o Orçamento de Investimento das mesmas empresas no valor global de R$ 1.846.971.305,00, para os fins que especifica.","Convertida
Lei nº 10.428, de 2002"
"19, de 28.12.2001
Publicada no DOU de 31.12.2001
Exposição de Motivos","Abre crédito extraordinário, em favor do Ministério da Integração Nacional, no valor de R$ 13.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.427, de 2002"
"18, de 28.12.2001
Publicada no DOU de 28.12.2001- Ed. extra
Exposição de Motivos","Dispõe sobre subvenções ao preço e ao transporte do álcool combustível e subsídios ao preço do gás liqüefeito de petróleo - GLP, e dá outras providências.","Convertida
Lei nº 10.453, de2002"
"17, de 27.12.2001
Publicada no DOU de 28.12.2001
Exposição de Motivos","Dispõe sobre remissão da Contribuição para o Desenvolvimento da Indústria Cinematográfica - CONDECINE, de que trata o art. 32 da Medida Provisória no 2.228-1, de 6 de setembro de 2001.","Convertida
Lei nº 10.454, de 2002"
"16, de 27.12.2001
Publicada no DOU de 27.12.2001- Ed. extra
Exposição de Motivos",Altera a legislação tributária federal e dá outras providências.,"Convertida
Lei nº 10.426, de 2002"
"15, de 21.12.2001
Publicada no DOU de 22.12.2001- Ed. extra
Exposição de Motivos
Exposição de Motivos","Fixa em 28 de fevereiro de 2002 o término do prazo para adesão à repactuação das operações de crédito rural de que trata o art. 5o, §§ 5o e 6o-A, da Lei no 9.138, de 29 de novembro de 1995.","Rejeitada
Ato do Presidente da Câmara dos Deputados"
"14, de 21.12.2001
Publicada no DOU de 21.12.2001
Exposição de Motivos",Dispõe sobre a expansão da oferta de energia emergencial e dá outras providências.,"Convertida
Lei nº 10.438, de 2002"
"13, de 11.12.2001
Publicada no DOU de 12.12.2001
Exposição de Motivos",Cria o cargo de Secretário de Estado de Comunicação de Governo.,"Convertida
Lei nº 10.415, de 2002"
"12, de 6.12.2001
Publicada no DOU de 7.12.2001
Exposição de Motivos","Abre crédito extraordinário, em favor dos Ministérios dos Transportes e da Integração Nacional, no valor global de R$ 86.000.000,00, para os fins que especifica.","Convertida
Lei nº 10.414, de 2002"
"11, de 21.11.2001
Publicada no DOU de 22.11.2001
Exposição de Motivos","Cria o Fundo Seguro-Safra e institui o benefício Seguro-Safra para os agricultores familiares da Região Nordeste e do norte do Estado de Minas Gerais, nos Municípios sujeitos a estado de calamidade ou situação de emergência em razão do fenômeno da estiagem.","Convertida
Lei nº 10.420, de 2002"
"10, de 13.11.2001
Publicada no DOU de 14.11.2001
Exposição de Motivos","Altera a Lei no 8.745, de 9 de dezembro de 1993, que dispõe sobre a contratação por tempo determinado para atender a necessidade temporária de excepcional interesse público, nos termos do inciso IX do art. 37 da Constituição Federal, e dá outras providências.","Rejeitada
Ato do Presidente da
Câmara dos Deputados"
"9, de 31.10.2001
Publicada no DOU de 1.11.2001
Exposição de Motivos
Prorrogação de prazo","Dispõe sobre o alongamento de dívidas originárias de crédito rural, de que trata a Lei no 9.138 de 29 de novembro de 1995, e dá outras providências.","Convertida
Lei nº 10.437, de 2002"
"8, de 31.10.2001
Publicada no DOU de 1.11.200
Exposição de Motivos
Prorrogação de prazo","Altera e acresce dispositivos à Lei no 6.385, de 7 de dezembro de 1976, que dispõe sobre o mercado de valores mobiliários e cria a Comissão de Valores Mobiliários.","Convertida
Lei nº 10.411, de 2002"
"7, de 24.10.2001
Publicada no DOU de 25.10.2001
Exposição de Motivos","Altera a Lei no 9.872, de 23 de novembro de 1999, que cria o Fundo de Aval para a Geração de Emprego e Renda – FUNPROGER.","Convertida
Lei nº 10.360, de 2001"
"6, de 23.10.2001
Publicada no DOU de 24.10.2001
Exposição de Motivos","Abre crédito extraordinário, em favor do Ministério de Minas e Energia, do Ministério do Desenvolvimento Agrário e do Ministério da Integração Nacional, no valor global de R$ 280.000.000,00, para os fins que especifica.","Convertida
Lei 10.313, de 2001"
"5, de 17.10.2001
Publicada no DOU de 18.10.2001
Exposição de Motivos",Institui feriados civis nos Estados que especifica e dá outras providências.,"Convertida
Lei nº 10.311, de 2001"
"4, de 17.10.2001
Publicada no DOU de 18.9.2001
Exposição de Motivos",Dispõe sobre a complementação pela União dos recursos necessários ao pagamento de bônus aos consumidores residenciais de energia elétrica e dá outras providências.,"Convertida
Lei nº 10.310, de 2001"
